Gene,Gene_name,Reliability,Main_location,Additional_location,Extracellular_location,Enhanced,Supported,Approved,Uncertain,SCVintensity,SCVspatial,Cell_cycle_dependency,GO_id,compartment,Multilocalizing,SCV,mitosis,enzyme,Protein,IsCCD,IsNonCCD,IsInterphaseCCD,IsMitoticCCD,IsTranscriptRegCCD,IsNonTranscriptRegCCD,Melting Temperature (deg C),Log2 Length,Disordered Residue Fraction,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
ENSG00000003393,ALS2,Approved,Cytosol;Intermediate filaments,,,,,Cytosol;Intermediate filaments,,,,,Cytosol (GO:0005829);Intermediate filaments (GO:0045111),cyto,TRUE,FALSE,False,FALSE,ALS2,False,False,False,False,False,False,48.66593018,10.69435789,0.136994569,,,,,,
ENSG00000003400,CASP10,Approved,Golgi apparatus,Vesicles,,,,Golgi apparatus;Vesicles,,,,,Golgi apparatus (GO:0005794);Vesicles (GO:0043231),cyto,TRUE,FALSE,False,FALSE,CASP10,False,False,False,False,False,False,47.87798391,,,,,,,,
ENSG00000003402,CFLAR,Supported,Cytosol;Nucleoplasm;Plasma membrane,Nuclear bodies,,,Cytosol;Nucleoplasm;Plasma membrane,Nuclear bodies,,,,,Cytosol (GO:0005829);Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886),cell,TRUE,FALSE,False,FALSE,CFLAR,False,False,False,False,False,False,46.32820521,8.906890596,0.033333333,,,,,,
ENSG00000003756,RBM5,Enhanced,Nucleoplasm,,,Nucleoplasm,,,,,,,Nucleoplasm (GO:0005654),nuc,FALSE,FALSE,False,FALSE,RBM5,False,False,False,False,False,False,45.20714925,9.670656249,0.44539877299999997,,,,,,
ENSG00000003987,MTMR7,Approved,Cytosol;Nucleoplasm,,,,Cytosol,,Nucleoplasm,,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654),cell,TRUE,FALSE,False,TRUE,MTMR7,False,False,False,False,False,False,,9.366322214,0.195454546,,,,,,
ENSG00000003989,SLC7A2,Supported,Plasma membrane,Cell Junctions,,,Cell Junctions;Plasma membrane,,,,,,Cell Junctions (GO:0030054);Plasma membrane (GO:0005886),cyto,TRUE,FALSE,False,FALSE,SLC7A2,False,False,False,False,False,False,60.26177048,,,,,,,,
ENSG00000004139,SARM1,Approved,Vesicles,,,,,Vesicles,,,,,Vesicles (GO:0043231),cyto,FALSE,FALSE,False,FALSE,SARM1,False,False,False,False,False,False,50.56483159,9.499845887000001,0.074585635,,,,,,
ENSG00000004142,POLDIP2,Approved,Mitochondria,,,,,Mitochondria,,,,,Mitochondria (GO:0005739),cyto,FALSE,FALSE,False,FALSE,POLDIP2,False,False,False,False,False,False,50.55317301,,,,,,,,
ENSG00000004455,AK2,Approved,Mitochondria,,,,,Mitochondria,,,,,Mitochondria (GO:0005739),cyto,FALSE,FALSE,False,TRUE,AK2,False,False,False,False,False,False,60.2736846,,,,,,,,
ENSG00000004468,CD38,Supported,Plasma membrane,,,,Plasma membrane,,,Plasma membrane,,,Plasma membrane (GO:0005886),cyto,FALSE,TRUE,False,TRUE,CD38,False,False,False,False,False,False,59.76037178,8.22881869,0.006666666999999999,,,,,,
ENSG00000004478,FKBP4,Enhanced,Cytosol,Nucleoplasm,,Cytosol;Nucleoplasm,,,,,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654),cell,TRUE,FALSE,False,FALSE,FKBP4,False,False,False,False,False,False,49.35070428,8.842350343,0.163398693,,,,,,
ENSG00000004487,KDM1A,Supported,Nucleoplasm,Cytosol,,,Nucleoplasm,,Cytosol,,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654),cell,TRUE,FALSE,False,FALSE,KDM1A,False,False,False,False,False,False,48.70543323,9.73470962,0.271126761,,,,,,
ENSG00000004534,RBM6,Approved,Nuclear speckles,Cytoplasmic bodies,,,,Cytoplasmic bodies;Nuclear speckles,,,,,Cytoplasmic bodies (GO:0036464);Nuclear speckles (GO:0016607),cell,TRUE,FALSE,False,FALSE,RBM6,False,False,False,False,False,False,46.70342961,10.13314221,0.790739092,,,,,,
ENSG00000004660,CAMKK1,Supported,Cytosol,,,,Cytosol,,,Cytosol,,,Cytosol (GO:0005829),cyto,FALSE,TRUE,False,FALSE,CAMKK1,False,True,False,False,False,False,47.90510269,,,,,,,,
ENSG00000004700,RECQL,Enhanced,Nucleoplasm,,,Nucleoplasm,,,,,,,Nucleoplasm (GO:0005654),nuc,FALSE,FALSE,False,FALSE,RECQL,False,False,False,False,False,False,53.25516827,,,,,,,,
ENSG00000004766,VPS50,Uncertain,Cytosol,Plasma membrane,,,,,Cytosol;Plasma membrane,,,,Cytosol (GO:0005829);Plasma membrane (GO:0005886),cyto,TRUE,FALSE,False,FALSE,VPS50,False,False,False,False,False,False,,9.912889336000001,0.109958506,,,,,,
ENSG00000004776,HSPB6,Supported,Cytosol,Golgi apparatus;Nucleoli,,,Cytosol,,Golgi apparatus;Nucleoli,Cytosol;Nucleoli,,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Nucleoli (GO:0005730),cell,TRUE,TRUE,False,FALSE,HSPB6,False,False,False,False,False,False,,7.321928095,0.19375,,,,,,
ENSG00000004779,NDUFAB1,Supported,Mitochondria,Nucleoplasm,,,Mitochondria,Nucleoplasm,,Mitochondria,,,Mitochondria (GO:0005739);Nucleoplasm (GO:0005654),cell,TRUE,TRUE,False,TRUE,NDUFAB1,False,True,False,False,False,False,56.88764038,,,,,,,,
ENSG00000004864,SLC25A13,Supported,Mitochondria,,,,Mitochondria,,,,,,Mitochondria (GO:0005739),cyto,FALSE,FALSE,False,TRUE,SLC25A13,False,False,False,False,False,False,56.3591534,,,,,,,,
ENSG00000004866,ST7,Supported,Nucleoplasm,Cytosol,,,Nucleoplasm,Cytosol,,Nucleoplasm,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654),cell,TRUE,TRUE,False,FALSE,ST7,False,True,False,False,False,False,52.43693167,9.192292814,0.046153846,,,,,,
ENSG00000004897,CDC27,Enhanced,Nucleoplasm,,,Nucleoplasm,,,,,,,Nucleoplasm (GO:0005654),nuc,FALSE,FALSE,False,FALSE,CDC27,False,False,False,False,False,False,49.90287565,9.686500527,0.300970874,,,,,,
ENSG00000004961,HCCS,Enhanced,Mitochondria,,,Mitochondria,,,,Mitochondria,,,Mitochondria (GO:0005739),cyto,FALSE,TRUE,False,TRUE,HCCS,False,False,False,False,False,False,56.55338185,,,,,,,,
ENSG00000004975,DVL2,Enhanced,Nucleoplasm,Nuclear bodies,,Nuclear bodies;Nucleoplasm,,,,,,,Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654),nuc,TRUE,FALSE,False,FALSE,DVL2,False,False,False,False,False,False,43.69540161,9.523561956,0.53125,,,,,,
ENSG00000005007,UPF1,Supported,Nucleoplasm,,,,Nucleoplasm,,,,,,Nucleoplasm (GO:0005654),nuc,FALSE,FALSE,False,FALSE,UPF1,False,False,False,False,False,False,51.80549888,,,,,,,,
ENSG00000005020,SKAP2,Supported,Nucleoplasm,Cytosol,,Nucleoplasm,Cytosol,,,,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654),cell,TRUE,FALSE,False,FALSE,SKAP2,False,False,False,False,False,False,46.75787514,8.487840034,0.29247910899999996,,,,,,
ENSG00000005022,SLC25A5,Supported,Mitochondria,,,,Mitochondria,,,,,,Mitochondria (GO:0005739),cyto,FALSE,FALSE,False,TRUE,SLC25A5,False,False,False,False,False,False,55.61216259,,,,,,,,
ENSG00000005059,MCUB,Approved,Mitochondria;Nucleoplasm;Vesicles,,,,,Mitochondria;Nucleoplasm;Vesicles,,,,,Mitochondria (GO:0005739);Nucleoplasm (GO:0005654);Vesicles (GO:0043231),cell,TRUE,FALSE,False,FALSE,MCUB,False,False,False,False,False,False,,8.392317423,0.047619048,,,,,,
ENSG00000005100,DHX33,Supported,Nucleoli,,,,Nucleoli,,,,,,Nucleoli (GO:0005730),nuc,FALSE,FALSE,False,FALSE,DHX33,False,False,False,False,False,False,48.0825325,9.465566405,0.121640736,,,,,,
ENSG00000005102,MEOX1,Approved,Nucleoplasm,Cytokinetic bridge;Cytosol,,,,Cytokinetic bridge;Cytosol;Nucleoplasm,,Cytokinetic bridge,,Cytokinetic bridge (biological definition),Cytokinetic bridge (GO:0045171);Cytosol (GO:0005829);Nucleoplasm (GO:0005654),cell,TRUE,FALSE,True,FALSE,MEOX1,False,False,False,False,False,False,,7.988684687,0.74015748,,,,,,
ENSG00000005156,LIG3,Supported,Nucleoplasm,,,,Nucleoplasm,,,,,,Nucleoplasm (GO:0005654),nuc,FALSE,FALSE,False,FALSE,LIG3,False,False,False,False,False,False,45.91804293,,,,,,,,
ENSG00000005175,RPAP3,Enhanced,Cytosol,,,Cytosol,,,,,,,Cytosol (GO:0005829),cyto,FALSE,FALSE,False,FALSE,RPAP3,False,False,False,False,False,False,49.10580106,9.37721053,0.29924812,,,,,,
ENSG00000005189,REXO5,Approved,Nuclear membrane,Endoplasmic reticulum;Nucleoli,,,,Endoplasmic reticulum;Nuclear membrane;Nucleoli,,,,,Endoplasmic reticulum (GO:0005783);Nuclear membrane (GO:0031965);Nucleoli (GO:0005730),cell,TRUE,FALSE,False,FALSE,REXO5,False,False,False,False,False,False,,9.596189756000001,0.06589147299999999,,,,,,
ENSG00000005194,CIAPIN1,Supported,Mitochondria,,,,Mitochondria,,,Mitochondria,,,Mitochondria (GO:0005739),cyto,FALSE,TRUE,False,TRUE,CIAPIN1,False,True,False,False,False,False,50.67554509,,,,,,,,
ENSG00000005206,SPPL2B,Approved,Nucleoplasm;Plasma membrane,Centrosome,,,Plasma membrane,,Centrosome;Nucleoplasm,,,,Centrosome (GO:0005813);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886),cell,TRUE,FALSE,False,FALSE,SPPL2B,False,False,False,False,False,False,57.01333368,,,,,,,,
ENSG00000005249,PRKAR2B,Uncertain,Mitochondria,,,,,,Mitochondria,,,,Mitochondria (GO:0005739),cyto,FALSE,FALSE,False,TRUE,PRKAR2B,False,False,False,False,False,False,51.21883769,,,,,,,,
ENSG00000005302,MSL3,Approved,Nucleoplasm,,,,,Nucleoplasm,,,,,Nucleoplasm (GO:0005654),nuc,FALSE,FALSE,False,FALSE,MSL3,False,False,False,False,False,False,46.65954141,,,,,,,,
ENSG00000005339,CREBBP,Enhanced,Nucleoplasm,Nuclear bodies,,Nuclear bodies;Nucleoplasm,,,,Nuclear bodies,,,Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654),nuc,TRUE,TRUE,False,TRUE,CREBBP,False,True,False,False,False,False,52.10642285,,,,,,,,
ENSG00000005381,MPO,Supported,Vesicles,Nucleoplasm,,,Vesicles,Nucleoplasm,,Nucleoplasm,,,Nucleoplasm (GO:0005654);Vesicles (GO:0043231),cell,TRUE,TRUE,False,FALSE,MPO,False,True,False,False,False,False,55.19944842,,,,,,,,
ENSG00000005436,GCFC2,Supported,Nucleoplasm,,,,Nucleoplasm,,,,,,Nucleoplasm (GO:0005654),nuc,FALSE,FALSE,False,FALSE,GCFC2,False,False,False,False,False,False,46.212430100000006,9.609178737999999,0.339308579,,,,,,
ENSG00000005448,WDR54,Approved,Cytosol;Vesicles,,,,,Cytosol;Vesicles,,,,,Cytosol (GO:0005829);Vesicles (GO:0043231),cyto,TRUE,FALSE,False,FALSE,WDR54,False,False,False,False,False,False,52.46376438,8.383704292000001,0.0,,,,,,
ENSG00000005469,CROT,Approved,Vesicles,,,,,Vesicles,,,,,Vesicles (GO:0043231),cyto,FALSE,FALSE,False,TRUE,CROT,False,False,False,False,False,False,48.43743072,,,,,,,,
ENSG00000005483,KMT2E,Supported,Nucleoplasm,Nuclear bodies,,,Nucleoplasm,Nuclear bodies,,Nuclear bodies,,,Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654),nuc,TRUE,TRUE,False,TRUE,KMT2E,False,False,False,False,False,False,,10.85953479,0.7712594190000001,,,,,,
ENSG00000005486,RHBDD2,Enhanced,Golgi apparatus,,,Golgi apparatus,,,,,,,Golgi apparatus (GO:0005794),cyto,FALSE,FALSE,False,FALSE,RHBDD2,False,False,False,False,False,False,52.72159583,,,,,,,,
ENSG00000005513,SOX8,Enhanced,Nucleoplasm,,,Nucleoplasm,,,,Nucleoplasm,,,Nucleoplasm (GO:0005654),nuc,FALSE,TRUE,False,FALSE,SOX8,False,True,False,False,False,False,,8.800899900000001,0.7668161440000001,,,,,,
ENSG00000005700,IBTK,Supported,Nucleoplasm,,,,Nucleoplasm,,,,,,Nucleoplasm (GO:0005654),nuc,FALSE,FALSE,False,FALSE,IBTK,False,False,False,False,False,False,51.44784033,10.40194612,0.161123429,,,,,,
ENSG00000005801,ZNF195,Approved,Nucleoplasm,Cytosol,,,,Cytosol;Nucleoplasm,,,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654),cell,TRUE,FALSE,False,FALSE,ZNF195,False,False,False,False,False,False,43.70342325,,,,,,,,
ENSG00000005810,MYCBP2,Supported,Nucleoplasm,Vesicles,,,Nucleoplasm,,Vesicles,,,,Nucleoplasm (GO:0005654);Vesicles (GO:0043231),cell,TRUE,FALSE,False,FALSE,MYCBP2,False,False,False,False,False,False,48.73415749,,,,,,,,
ENSG00000005812,FBXL3,Enhanced,Nuclear bodies,,,Nuclear bodies,,,,,,,Nuclear bodies (GO:0016604),nuc,FALSE,FALSE,False,FALSE,FBXL3,False,False,False,False,False,False,45.55750349,8.741466986,0.065420561,,,,,,
ENSG00000005882,PDK2,Approved,Mitochondria;Nucleoplasm,,,,Mitochondria,,Nucleoplasm,Nucleoplasm,,,Mitochondria (GO:0005739);Nucleoplasm (GO:0005654),cell,TRUE,TRUE,False,TRUE,PDK2,False,False,False,False,False,False,49.758380200000005,8.668884984,0.031941032,,,,,,
ENSG00000005884,ITGA3,Supported,Plasma membrane,,,,Plasma membrane,,,Plasma membrane,,,Plasma membrane (GO:0005886),cyto,FALSE,TRUE,False,FALSE,ITGA3,False,False,False,False,False,False,60.40178587,,,,,,,,
ENSG00000005889,ZFX,Approved,Nucleoplasm,Nucleoli,,,,Nucleoli;Nucleoplasm,,Nucleoli,,,Nucleoli (GO:0005730);Nucleoplasm (GO:0005654),nuc,TRUE,TRUE,False,FALSE,ZFX,False,False,False,False,False,False,48.67270298,9.652844972999999,0.27453416199999997,,,,,,
ENSG00000005893,LAMP2,Supported,Plasma membrane;Vesicles,,,,Plasma membrane;Vesicles,,,,,,Plasma membrane (GO:0005886);Vesicles (GO:0043231),cyto,TRUE,FALSE,False,FALSE,LAMP2,False,False,False,False,False,False,52.92246013,8.6794801,0.06585365900000001,,,,,,
ENSG00000006007,GDE1,Approved,Vesicles,,,,,Vesicles,,Vesicles,,,Vesicles (GO:0043231),cyto,FALSE,TRUE,False,TRUE,GDE1,False,False,False,False,False,False,58.08159489,8.370687407,0.048338369000000006,,,,,,
ENSG00000006025,OSBPL7,Approved,Cytosol;Nucleoplasm,Plasma membrane,,,Cytosol;Plasma membrane,,Nucleoplasm,,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886),cell,TRUE,FALSE,False,TRUE,OSBPL7,False,False,False,False,False,False,45.5407091,,,,,,,,
ENSG00000006042,TMEM98,Supported,Nucleoplasm,,,,Nucleoplasm,,,,,,Nucleoplasm (GO:0005654),nuc,FALSE,FALSE,False,FALSE,TMEM98,False,False,False,False,False,False,50.69455787,,,,,,,,
ENSG00000006071,ABCC8,Approved,Nucleoli,Cytosol;Golgi apparatus,,,,Cytosol;Golgi apparatus;Nucleoli,,Nucleoli,,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Nucleoli (GO:0005730),cell,TRUE,TRUE,False,TRUE,ABCC8,False,True,False,False,False,False,,10.62662165,0.052498419000000004,,,,,,
ENSG00000006118,TMEM132A,Approved,Mitochondria,,,,,Mitochondria,,Mitochondria,,,Mitochondria (GO:0005739),cyto,FALSE,TRUE,False,FALSE,TMEM132A,False,True,False,False,False,False,55.88140141,,,,,,,,
ENSG00000006125,AP2B1,Supported,Vesicles,,,,Vesicles,,,,,,Vesicles (GO:0043231),cyto,FALSE,FALSE,False,TRUE,AP2B1,False,False,False,False,False,False,51.89543296,9.871905238,0.034151547000000004,,,,,,
ENSG00000006210,CX3CL1,Supported,Plasma membrane,,Predicted to be secreted,,Plasma membrane,,,,,,Plasma membrane (GO:0005886),cyto,FALSE,FALSE,False,FALSE,CX3CL1,False,False,False,False,False,False,55.99311754,,,,,,,,
ENSG00000006282,SPATA20,Approved,Nucleoplasm,,Predicted to be secreted,,,Nucleoplasm,,,,,Nucleoplasm (GO:0005654),nuc,FALSE,FALSE,False,FALSE,SPATA20,False,False,False,False,False,False,50.35905332,,,,,,,,
ENSG00000006327,TNFRSF12A,Approved,Cytosol;Plasma membrane,,,,,Cytosol;Plasma membrane,,,,,Cytosol (GO:0005829);Plasma membrane (GO:0005886),cyto,TRUE,FALSE,False,FALSE,TNFRSF12A,False,False,False,False,False,False,60.66192513,,,,,,,,
ENSG00000006377,DLX6,Approved,Nuclear bodies,,,,,Nuclear bodies,,,,,Nuclear bodies (GO:0016604),nuc,FALSE,FALSE,False,FALSE,DLX6,False,False,False,False,False,False,,7.451211112,0.531428571,,,,,,
ENSG00000006451,RALA,Supported,Plasma membrane,Focal adhesion sites,,,Focal adhesion sites;Plasma membrane,,,,,,Focal adhesion sites (GO:0005925);Plasma membrane (GO:0005886),cyto,TRUE,FALSE,False,FALSE,RALA,False,False,False,False,False,False,62.49250457,7.686500527000001,0.08737864099999999,,,,,,
ENSG00000006453,BAIAP2L1,Enhanced,Plasma membrane,Cytosol,,Cytosol;Plasma membrane,,,,,,,Cytosol (GO:0005829);Plasma membrane (GO:0005886),cyto,TRUE,FALSE,False,FALSE,BAIAP2L1,False,False,False,False,False,False,54.12673026,,,,,,,,
ENSG00000006459,KDM7A,Approved,Nucleoplasm,Nucleoli,,,,Nucleoli;Nucleoplasm,,Nucleoli,,,Nucleoli (GO:0005730);Nucleoplasm (GO:0005654),nuc,TRUE,TRUE,False,FALSE,KDM7A,True,False,True,False,False,True,,9.878050913,0.348565356,,,,,,
ENSG00000006468,ETV1,Approved,Nucleoplasm,,,,,Nucleoplasm,,Nucleoplasm,,,Nucleoplasm (GO:0005654),nuc,FALSE,TRUE,False,FALSE,ETV1,False,True,False,False,False,False,,8.897845456,0.42138364799999994,,,,,,
ENSG00000006530,AGK,Supported,Mitochondria,Vesicles,,,Mitochondria,Vesicles,,,,,Mitochondria (GO:0005739);Vesicles (GO:0043231),cyto,TRUE,FALSE,False,TRUE,AGK,False,False,False,False,False,False,53.32295056,8.721099189,0.08530805699999999,,,,,,
ENSG00000006576,PHTF2,Approved,Nucleoplasm,Cytosol,,,,Cytosol;Nucleoplasm,,,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654),cell,TRUE,FALSE,False,FALSE,PHTF2,False,False,False,False,False,False,,9.616548844,0.23312101899999998,,,,,,
ENSG00000006607,FARP2,Approved,Cytosol,,,,,Cytosol,,,,,Cytosol (GO:0005829),cyto,FALSE,FALSE,False,FALSE,FARP2,False,False,False,False,False,False,47.54716539,10.04165915,0.179316888,,,,,,
ENSG00000006611,USH1C,Enhanced,Cytosol,,,Cytosol,,,,Cytosol,,,Cytosol (GO:0005829),cyto,FALSE,TRUE,False,FALSE,USH1C,False,True,False,False,False,False,,9.108524457,0.14673913,,,,,,
ENSG00000006634,DBF4,Supported,Nuclear bodies;Nucleoplasm,,,,Nuclear bodies;Nucleoplasm,,,,Nuclear bodies;Nucleoplasm,,Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654),nuc,TRUE,TRUE,False,FALSE,DBF4,True,False,True,False,True,False,45.43466832,,,,,,,,
ENSG00000006652,IFRD1,Approved,Cytosol;Plasma membrane,,,,,Cytosol;Plasma membrane,,Cytosol;Plasma membrane,,,Cytosol (GO:0005829);Plasma membrane (GO:0005886),cyto,TRUE,TRUE,False,FALSE,IFRD1,False,True,False,False,False,False,,8.816983622999999,0.168514412,,,,,,
ENSG00000006695,COX10,Supported,Mitochondria,Cytosol;Nucleoli,,,Mitochondria,,Cytosol;Nucleoli,,,,Cytosol (GO:0005829);Mitochondria (GO:0005739);Nucleoli (GO:0005730),cell,TRUE,FALSE,False,TRUE,COX10,False,False,False,False,False,False,54.21425607,8.791162889,0.085778781,,,,,,
ENSG00000006712,PAF1,Supported,Nucleoplasm,,,,Nucleoplasm,,,,,,Nucleoplasm (GO:0005654),nuc,FALSE,FALSE,False,FALSE,PAF1,False,False,False,False,False,False,46.06184351,9.052568051,0.5047080979999999,,,,,,
ENSG00000006744,ELAC2,Enhanced,Nucleoplasm,,,Nucleoplasm,,,,,,,Nucleoplasm (GO:0005654),nuc,FALSE,FALSE,False,FALSE,ELAC2,False,False,False,False,False,False,59.57387813,,,,,,,,
ENSG00000006747,SCIN,Enhanced,Plasma membrane,,,Plasma membrane,,,,Plasma membrane,,,Plasma membrane (GO:0005886),cyto,FALSE,TRUE,False,FALSE,SCIN,False,True,False,False,False,False,45.4068434,,,,,,,,
